id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies
z22ny3bzvsixtv4t0acdp431lrixzxjnqvkf51gv5ftw03c010c,Max Max,2 hours ago,1502555528447,Ваще похуй.,1,false,0
z22xwnxaymjpity35acdp430kltkp1x3udtyl3p1dxhw03c010c,Терентьев Александр,2 hours ago,1502555528452,"Воруй,убивай,грабь награбленное !России пиздец",1,false,0
z22ozjeahpbqyd1doacdp430at5wqesvubfivujpwrpw03c010c,Юрий Мал,3 hours ago,1502551928455,"Народ! Я собираю деньги на оплату всех штрафов. Внимание!
Не отправляйте деньги на не проверенные реквизиты.
Вот кошелк для сбора средств: Яндекс деньги - 410011099256938",0,false,0
z22fxxipolqifz00lacdp430fmtvl0volxoeasw1satw03c010c,Егор Никитин,4 hours ago,1502548328458,"А потом в суде выяснится, что это были совсем не те Ротенберги и вообще они ничего плохого не имели ввиду. Засыхи блин, только и умеют, что по углам гадить.",101,true,9
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
z22pgpvbdpqcgpdig04t1aokglbxx1udk0faywquurbtbk0h00410,Vi Rus,4 hours ago,1502548328465,помогите камикадзе ди,0,false,0
z22ahrg5ao2lhdpuwacdp43akcx4gn5vrwyn1tfaqslw03c010c,Александр Вольный,4 hours ago,1502548334759,Дальнобойщики включайте в стоимость перевозки Платон.,1,false,0
z22ahrg5ao2lhdpuwacdp433113xv5udistibx4hpkhw03c010c,Александр Вольный,4 hours ago,1502548334762,Слава Путину.,1,false,0
z23izhnqruyqejl3iacdp43b3rhxlelomylfj0dr225w03c010c,Любовь Герасимова,5 hours ago,1502544734767,"Вот докопались до предпринимателей. Представляю, что это было бы, если бы в России не было закона о том, что зекам в президенты нельзя... Надеюсь, вы понимаете намк. Бизнес был бы не то, что закошмарен, он просто перестал бы существовать в России...",46,true,4
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
z22eettzal2evdcjn04t1aokgcgcv1lhl1zhnk4yupmlrk0h00410,Player 63,5 hours ago,1502544734771,стране пиздец... уже пиздец),1,false,0
z22ohbugmx2gzribn04t1aokg0epcinzera0aeehetn2rk0h00410,Елена Сорокина,5 hours ago,1502544734775,"Простите, а какое отношения эти дальнобойщики имеют к этой частной собственности? Она же давным давно была построена. Да и вообще, у этих Ротенбергов куча банков всяких, которые им доход приносят. Эти кадры которые тут показывают, разве говорят о том, что собранные с платона денег идут не на ремонт дорог?",82,true,4
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
z22uenyylrj1eta4l04t1aokgnqvlpi3vvacqbgelh3hbk0h00410,Андрей Подольский,5 hours ago,1502544734782,Судя по дизлайкам ольгино филиалы открыло ,2,false,0
z22uenyylrj1eta4l04t1aokgxkrse5lwr4zrx5nq24ark0h00410,Андрей Подольский,5 hours ago,1502544734789,"Потом когда то экскурсии по этих замках водить, но рабы до этого не доживут... Это карма ",1,false,0
z23bxrlzitzlj1xyw04t1aokgjayxt0ni2zuhzverescrk0h00410,realAzat Iskandarov,5 hours ago,1502544734793,Насиловать и убивать ! Грабить и воровать! Ровняяяйсь на нашего президента Путина!  Все чиновники уже давно берут пример   сПутина  а вы чтож тормозите  а народ ебаный  в рот!,1,false,0
z22nslhx0kmpgvraj04t1aokgujpi03sz5bjoodmgz2lbk0h00410,vlaoff,5 hours ago,1502544734800,"Я не кремлебот, но дизлайк, поставил. Видео очень скучное !",1,false,0
